ID,Class,category,x1,x2
PTC4492,13,Polyimides,-3.8825555,6.9331894
PTC3385,15,Polycarbonates,11.042786,7.191434
PTC0714,8,Polysulfides,6.509903,9.9183655
PTC3639,16,Polyimines,7.515576,6.1243243
PTC4402,17,Polyketones,7.7688966,2.2345154
PTC0931,9,Polyesters,12.016538,11.641941
PTC3055,10,Polyamides,23.4219,0.3256487
PTC3010,10,Polyamides,4.8000116,17.11954
PTC1023,9,Polyesters,12.762792,3.568158
PTC4254,10,Polyamides,7.0495396,9.596709
PTC0122,7,Polyethers,-6.3553185,1.2193248
PTC0150,3,Polyvinyls,2.8195403,12.426733
PTC1753,1,Polyolefins,15.2845125,2.1855803
PTC0044,1,Polyolefins,4.9022384,10.5796795
PTC1870,3,Polyvinyls,7.3649607,-2.2263803
PTC3891,10,Polyamides,7.2748437,5.81984
PTC2780,9,Polyesters,12.274158,12.588449
PTC0004,4,Polyacrylics,3.3601215,12.511326
PTC2534,8,Polysulfides,8.650092,5.750513
PTC0327,4,Polyacrylics,15.090926,11.641511
PTC4077,9,Polyesters,2.500883,13.115499
PTC0288,3,Polyvinyls,7.667895,-1.9439896
PTC1951,6,Polydienes,6.109556,8.796103
PTC0132,17,Polyketones,7.699885,2.3067048
PTC1384,11,Polyurethanes,-4.8040857,11.384505
PTC0967,9,Polyesters,3.8165188,-9.325494
PTC0985,9,Polyesters,19.911798,4.461573
PTC3951,17,Polyketones,7.4786777,6.510584
PTC4311,10,Polyamides,6.201902,2.2937403
PTC1085,9,Polyesters,3.021922,1.4190642
PTC1093,10,Polyamides,23.373863,0.27221394
PTC0524,14,Polyanhydrides,5.0574474,5.291888
PTC1534,13,Polyimides,-3.4707994,7.4621468
PTC2175,7,Polyethers,8.524242,10.090113
PTC1394,11,Polyurethanes,14.634231,16.356411
PTC1192,10,Polyamides,23.484749,0.3248466
PTC0022,4,Polyacrylics,2.2419016,12.775888
PTC1194,10,Polyamides,23.371218,0.2515013
PTC0831,9,Polyesters,10.443018,13.664501
PTC4476,16,Polyimines,0.5726692,9.049399
PTC0753,14,Polyanhydrides,3.2105181,20.7867
PTC2960,10,Polyamides,13.214536,-1.3243487
PTC4227,11,Polyurethanes,-5.8371844,1.0188636
PTC0947,9,Polyesters,3.8165457,-9.325487
PTC2999,10,Polyamides,-0.9530112,0.27177
